date,open,high,low,close
2017-12-13-22:00,6406.1,6429.6,6389.7,6395.5
2017-12-14-22:00,6391.5,6477.2,6385.2,6467.9
2017-12-17-23:00,6495.1,6528.3,6492.1,6521.6
2017-12-18-22:00,6523.2,6532.4,6466.8,6484.5
2017-12-19-22:00,6490.5,6516.4,6451,6477.7
2017-12-20-22:00,6474.5,6512.6,6463.7,6483.8
2017-12-21-22:00,6482.4,6494.7,6461,6483
2017-12-26-22:00,6454.7,6470.3,6437.1,6443.8
2017-12-27-22:00,6449,6472.5,6437.1,6444.4
2017-12-28-22:00,6442.7,6462.6,6401.6,6404.1
2018-01-01-22:00,6414.2,6518.9,6393.5,6516.4
2018-01-02-22:00,6509.7,6587.3,6507.7,6579.3
2018-01-03-22:00,6580.3,6612.3,6574.5,6590.9
2018-01-04-22:00,6601.9,6662.2,6595.1,6655.8
2018-01-07-23:00,6669.4,6686.8,6649.5,6682.1
2018-01-08-22:00,6683.7,6703.9,6663.8,6685.7
2018-01-09-22:00,6677,6683.5,6625,6669.6
2018-01-10-22:00,6672.2,6714.3,6661.2,6714
2018-01-11-22:00,6720.1,6771.2,6700.4,6762.7
2018-01-14-23:00,6780.1,6796.1,6771.1,6778.6
2018-01-15-22:00,6779.1,6844,6727.5,6746.7
2018-01-16-22:00,6752.1,6833,6743.4,6822
2018-01-17-22:00,6818.5,6837,6794.9,6822
2018-01-18-22:00,6818.6,6855.2,6800.8,6844.3
2018-01-21-23:00,6833,6918.5,6830.6,6918.3
2018-01-22-22:00,6932.3,6981.6,6920.4,6974.6
2018-01-23-22:00,6962.2,7004.5,6889,6929.4
2018-01-24-22:00,6928.5,6988.5,6903.7,6925.7
2018-01-25-22:00,6939.7,7031.2,6936,7030.7
2018-01-28-23:00,7038.7,7051.7,6985.3,6998.5
2018-01-29-22:00,7002.7,7011.2,6908,6945.5
2018-01-30-22:00,6945.1,6996.3,6927.6,6968.5
2018-01-31-22:00,6984.9,6993.5,6890.3,6912.8
2018-02-01-22:00,6962.5,6969,6767.5,6770.5
2018-02-04-23:00,6737,6819.9,6494.6,6500
2018-02-05-22:00,6462.7,6681.4,6265.3,6672.1
2018-02-06-22:00,6674,6722.8,6570.6,6585.2
2018-02-07-22:00,6530.6,6624.3,6306.9,6307.7
2018-02-08-22:00,6339.4,6458.1,6167,6412.6
2018-02-11-23:00,6435.6,6570.9,6417.6,6528.7
2018-02-12-22:00,6533.4,6574.5,6474.5,6558.7
2018-02-13-22:00,6556.5,6689.7,6454.9,6679.4
2018-02-14-22:00,6675,6802.4,6670.1,6800.9
2018-02-15-22:00,6816.6,6859.7,6762.4,6776
2018-02-18-23:00,6795.4,6820.5,6759.7,6780.4
2018-02-19-22:00,6790.9,6845.2,6724.9,6785.9
2018-02-20-22:00,6788.2,6886.9,6763.9,6763.9
2018-02-21-22:00,6749.7,6832.9,6696.6,6766.4
2018-02-22-22:00,6795.9,6903.8,6784.4,6902.6
2018-02-25-23:00,6925.2,6996,6893,6995.2
2018-02-26-22:00,7004.2,7011,6906.5,6907
2018-02-27-22:00,6923.4,6972.5,6862.4,6862.5
2018-02-28-22:00,6885,6901,6691.4,6753.8
2018-03-01-22:00,6774.7,6825.8,6648.2,6814.1
2018-03-04-23:00,6803.6,6907.7,6745.7,6887.2
2018-03-05-22:00,6886.7,6942.9,6875.3,6918.1
2018-03-06-22:00,6852.8,6940.9,6802.4,6933.9
2018-03-07-22:00,6924.3,6977.5,6917.1,6971.3
2018-03-08-22:00,6976.7,7106.6,6963.3,7105.9
2018-03-11-22:00,7109.6,7165.2,7108.5,7139.5
2018-03-12-21:00,7139.8,7194.4,7030.9,7051.4
2018-03-13-21:00,7036.6,7102.2,7017.2,7047
2018-03-14-21:00,7043.3,7080.8,7008.5,7036
2018-03-15-21:00,7055.2,7065.3,7013.9,7018.6
2018-03-18-22:00,7019.7,7024.2,6803.7,6867.9
2018-03-19-21:00,6890.7,6911.3,6846.6,6887.5
2018-03-20-21:00,6900.7,6934.4,6826.1,6855.2
2018-03-21-21:00,6871.2,6899.3,6678.2,6683.6
2018-03-22-21:00,6666.9,6706,6503.9,6504.7
2018-03-25-22:00,6529.8,6764.8,6510.6,6756.8
2018-03-26-21:00,6766.2,6834.2,6475.1,6528.8
2018-03-27-21:00,6530.4,6568.1,6407,6456.7
2018-03-28-21:00,6480.6,6640.3,6430.7,6575.9
2018-04-01-22:00,6561.4,6576.5,6315.4,6387.7
2018-04-02-21:00,6399,6486.2,6340.6,6457.1
