N_CONSEC,lengthSMMA,length1,SL_PCT,MTPS,trades,win_rate,avg_r,
4,2,10,0.0009,3,1224,0.366013072,0.244266377,298.9820458
4,3,12,0.0009,3,1266,0.365718799,0.244176832,309.1278693
4,2,13,0.0009,4,1099,0.366696997,0.243945993,268.0966458
4,4,12,0.0007,4,1370,0.365693431,0.240944257,330.0936315
4,3,13,0.001,2,1156,0.365051903,0.239468544,276.8256367
5,4,11,0.001,2,1151,0.366637706,0.239260565,275.3889105
5,4,11,0.001,2,1151,0.366637706,0.239260565,275.3889105
4,2,9,0.0007,3,1311,0.36460717,0.239158299,313.5365297
5,3,9,0.0008,4,1250,0.3656,0.238989525,298.736906
5,3,9,0.0008,4,1250,0.3656,0.238989525,298.736906
4,2,13,0.0009,2,1065,0.365258216,0.238963987,254.4966458
4,2,9,0.0007,4,1317,0.364464692,0.23867618,314.3365297
4,2,9,0.0008,3,1304,0.364263804,0.238654508,311.2054787
4,2,9,0.0008,3,1304,0.364263804,0.238654508,311.2054787
4,4,9,0.0007,2,1343,0.365599404,0.238351015,320.105413
4,3,11,0.001,4,1286,0.363919129,0.237884183,305.9190589
5,4,9,0.0007,3,1377,0.365286855,0.237196628,326.6197566
5,4,9,0.0007,3,1377,0.365286855,0.237196628,326.6197566
5,3,10,0.001,4,1153,0.363399827,0.236180863,272.3165351
4,3,10,0.0007,2,1265,0.364426877,0.235705164,298.1670322
4,3,10,0.0007,2,1265,0.364426877,0.235705164,298.1670322
4,3,11,0.001,3,1283,0.363211224,0.235478612,302.1190589
4,4,13,0.001,4,1296,0.365740741,0.234767744,304.2589967
4,4,11,0.001,4,1381,0.364952933,0.234746997,324.1856026
4,4,11,0.001,4,1381,0.364952933,0.234746997,324.1856026
4,4,11,0.001,4,1381,0.364952933,0.234746997,324.1856026
4,3,11,0.001,2,1199,0.362802335,0.234127655,280.7190589
4,4,13,0.001,2,1209,0.365591398,0.23363027,282.4589967
4,3,10,0.0008,4,1399,0.363831308,0.233596713,326.8018009
4,3,12,0.001,4,1266,0.362559242,0.233297853,295.3550823
4,3,12,0.001,4,1266,0.362559242,0.233297853,295.3550823
4,4,12,0.0008,3,1360,0.363235294,0.232302888,315.9319276
5,4,9,0.0008,2,1251,0.363709033,0.23104899,289.042287
4,4,11,0.0008,3,1398,0.362660944,0.23042341,322.1319276
4,4,11,0.0008,3,1398,0.362660944,0.23042341,322.1319276
5,4,10,0.0008,4,1288,0.36257764,0.229811105,295.9967031
4,4,13,0.0009,2,1214,0.363261944,0.229614492,278.7519928
4,4,13,0.0009,2,1214,0.363261944,0.229614492,278.7519928
4,3,10,0.0008,3,1394,0.362266858,0.22826528,318.2018009
4,3,10,0.0008,3,1394,0.362266858,0.22826528,318.2018009
5,4,10,0.0008,3,1285,0.361867704,0.22739043,292.1967031
4,2,9,0.0007,2,1208,0.360927152,0.226603087,273.7365297
4,4,11,0.0009,3,1392,0.361350575,0.225943681,314.513604
4,4,12,0.0009,3,1354,0.361152142,0.225194685,304.913604
5,3,9,0.0009,3,1234,0.359805511,0.221545557,273.3872178
4,4,12,0.0009,2,1241,0.359387591,0.218947304,271.713604
4,3,10,0.0009,4,1380,0.358695652,0.217948323,300.7686852
4,3,10,0.0009,4,1380,0.358695652,0.217948323,300.7686852
4,3,10,0.0009,3,1375,0.357818182,0.214959044,295.5686852
4,3,10,0.0009,2,1247,0.35765838,0.214249146,267.1686852
4,3,10,0.001,2,1243,0.356395817,0.20979229,260.7718167
5,4,10,0.0009,3,1278,0.356025039,0.20751053,265.1984572
4,3,10,0.001,3,1367,0.355523043,0.20700206,282.9718167
5,4,9,0.0009,4,1363,0.355832722,0.204707817,279.016754
4,3,9,0.001,2,1284,0.354361371,0.202937552,260.5718167
4,4,9,0.0008,2,1337,0.354525056,0.200368165,267.8922364
4,4,9,0.0008,2,1337,0.354525056,0.200368165,267.8922364
5,4,10,0.001,3,1262,0.354992076,0.20030817,252.7889105
4,4,10,0.001,4,1457,0.35483871,0.198476891,289.1808302
4,4,10,0.0008,3,1475,0.353220339,0.196401516,289.6922364
4,4,10,0.0008,3,1475,0.353220339,0.196401516,289.6922364
4,4,9,0.001,4,1540,0.351948052,0.189078461,291.1808302
4,4,9,0.0008,4,1582,0.350189633,0.186404701,294.8922364
4,4,10,0.0009,3,1466,0.349931787,0.185152714,271.4338785
4,4,10,0.0009,3,1466,0.349931787,0.185152714,271.4338785
4,4,9,0.0009,3,1551,0.34751773,0.177197858,274.8338785
4,4,9,0.0009,4,1570,0.346496815,0.17377954,272.8338785
4,4,9,0.0009,4,1570,0.346496815,0.17377954,272.8338785
4,4,9,0.0009,2,1327,0.346646571,0.173499532,230.2338785
,,,,,,,,x
