dt,open,high,low,close,s1,s2,s3,SMMA,vix_d,aligned_long,aligned_short,close_above_smma,close_below_smma,consec_above,consec_below,armed_long,armed_short,armed_long_prev,armed_short_prev,long_entry_signal,short_entry_signal
2025-11-11 05:24:00-05:00,25516.6,25519.9,25513.6,25518.2,25504.47588381757,25506.09095500058,25511.49793503717,25515.22269674524,17.9,True,False,True,False,3,0,False,False,False,False,False,False
2025-11-11 05:25:00-05:00,25518.3,25519.2,25513.1,25515.4,25505.047385500795,25507.019101624042,25512.548659241984,25515.64846449683,17.9,True,False,False,True,0,2,False,False,False,False,False,False
2025-11-11 05:26:00-05:00,25515.7,25521.2,25512.6,25519.9,25505.640503334624,25507.924420927135,25513.454432647894,25516.21564299789,17.9,True,False,True,False,2,0,False,False,False,False,False,False
2025-11-11 05:27:00-05:00,25517.6,25523.8,25516.2,25523.7,25506.266168821414,25508.83851815444,25514.37336976487,25517.585428665257,17.9,True,False,True,False,3,0,False,False,False,False,False,False
2025-11-11 05:28:00-05:00,25521.7,25524.9,25519.8,25523.2,25506.939827228183,25509.79883316129,25515.43669363513,25519.19028577684,17.9,True,False,True,False,4,0,True,False,False,False,False,False
2025-11-11 05:29:00-05:00,25524.1,25524.9,25519.7,25523.1,25507.65912560809,25510.800727616486,25516.594279387675,25520.443523851223,17.9,True,False,True,False,5,0,True,False,True,False,True,False
2025-11-11 05:30:00-05:00,25522.9,25527.6,25519.2,25519.3,25508.405532406556,25511.80543766053,25517.6937413849,25521.04568256748,17.9,True,False,False,True,0,2,False,False,True,False,True,False
2025-11-11 05:31:00-05:00,25519.2,25528.2,25518.8,25527.6,25509.167754369937,25512.793417128283,25518.69100773065,25521.847121711657,17.9,True,False,True,False,2,0,False,False,False,False,False,False
2025-11-11 05:32:00-05:00,25527.4,25527.4,25519.9,25519.9,25509.941845949295,25513.762361865724,25519.611187431867,25522.448081141105,17.9,True,False,False,True,0,2,False,False,False,False,False,False
2025-11-11 05:33:00-05:00,25519.7,25522.2,25512.6,25514.4,25510.68021316296,25514.61648493628,25520.146595111244,25520.707054094073,17.9,True,False,False,True,0,3,False,False,False,False,False,False
2025-11-11 05:34:00-05:00,25514.6,25517.7,25506.9,25510.7,25511.316606455268,25515.229150817006,25519.962635107328,25517.963036062716,17.9,True,False,False,True,0,4,False,False,False,False,False,False
2025-11-11 05:35:00-05:00,25510.6,25512.7,25507.1,25509.6,25511.822416098737,25515.565392741195,25519.121469107246,25515.30869070848,17.9,True,False,False,True,0,5,False,False,False,False,False,False
2025-11-11 05:36:00-05:00,25510.1,25515.1,25507.3,25511.8,25512.210232655514,25515.679511889473,25517.960628321795,25513.89746047232,17.9,True,False,False,True,0,6,False,False,False,False,False,False
2025-11-11 05:37:00-05:00,25512.1,25518.4,25508.8,25515.1,25512.520511466573,25515.67765046364,25516.892335436754,25513.79830698155,17.9,True,False,True,False,2,0,False,False,False,False,False,False
2025-11-11 05:38:00-05:00,25514.9,25521.3,25513.8,25521.2,25512.804528040044,25515.676882577893,25516.25076347627,25515.132204654365,17.9,True,False,True,False,3,0,False,False,False,False,False,False
2025-11-11 05:39:00-05:00,25519.1,25524.3,25516.9,25519.2,25513.1008005612,25515.754780159546,25516.148721488185,25516.713136436243,17.9,True,False,True,False,4,0,True,False,False,False,False,False
2025-11-11 05:40:00-05:00,25518.9,25518.9,25506.3,25510.6,25513.379414847637,25515.835448612645,25516.15091866012,25515.70042429083,17.9,True,False,False,True,0,2,False,False,True,False,True,False
2025-11-11 05:41:00-05:00,25511.2,25511.4,25505.3,25507.6,25513.576801358922,25515.779579537757,25515.73385306737,25513.425282860553,17.9,False,False,False,True,0,3,False,False,False,False,False,False
2025-11-11 05:42:00-05:00,25507.8,25515.8,25506.6,25512.6,25513.68992595202,25515.591166452625,25515.01332431095,25512.516855240367,17.9,False,False,True,False,2,0,False,False,False,False,False,False
2025-11-11 05:43:00-05:00,25510.6,25516.1,25510.1,25511.6,25513.75338476453,25515.35327514616,25514.339684452563,25512.377903493576,17.9,False,False,False,True,0,2,False,False,False,False,False,False
2025-11-11 05:44:00-05:00,25512.1,25514.6,25508.4,25508.8,25513.778157736593,25515.089545460563,25513.759281845876,25511.910268995718,17.9,False,False,False,True,0,3,False,False,False,False,False,False
2025-11-11 05:45:00-05:00,25510.9,25515.8,25508.3,25513.3,25513.77169380884,25514.813692382202,25513.274654010565,25511.96517933048,17.9,False,False,True,False,2,0,False,False,False,False,False,False
2025-11-11 05:46:00-05:00,25515.3,25516.7,25509.8,25510.9,25513.753218369337,25514.5633726254,25512.974279675822,25512.36845288699,17.9,False,False,False,True,0,2,False,False,False,False,False,False
2025-11-11 05:47:00-05:00,25510.8,25514.1,25509.4,25512.2,25513.722778219304,25514.331823176715,25512.77338760379,25512.12063525799,17.9,False,False,True,False,2,0,False,False,False,False,False,False
2025-11-11 05:48:00-05:00,25511.6,25511.7,25504.9,25506.6,25513.65715752159,25514.063824810844,25512.448051631964,25510.98042350533,17.9,False,False,False,True,0,2,False,False,False,False,False,False
2025-11-11 05:49:00-05:00,25506.8,25510.4,25504.7,25506.9,25513.53857013534,25513.721668341055,25511.898042436085,25509.720282336886,17.9,False,False,False,True,0,3,False,False,False,False,False,False
2025-11-11 05:50:00-05:00,25507.1,25515.1,25506.9,25512.8,25513.389502139085,25513.357339934857,25511.35789548403,25509.97185489126,17.9,False,True,True,False,2,0,False,False,False,False,False,False
2025-11-11 05:51:00-05:00,25512.6,25516.3,25511.1,25514.7,25513.25552748174,25513.066651524885,25511.146710768873,25511.20623659417,17.9,False,True,True,False,3,0,False,False,False,False,False,False
2025-11-11 05:52:00-05:00,25514.6,25514.6,25506.7,25508.8,25513.139196369168,25512.844186906248,25511.149727278433,25511.195824396113,17.9,False,True,False,True,0,2,False,False,False,False,False,False
2025-11-11 05:53:00-05:00,25508.9,25514.7,25508.1,25513.8,25513.024899167416,25512.64717611046,25511.161993923102,25511.25554959741,17.9,False,True,True,False,2,0,False,False,False,False,False,False
2025-11-11 05:54:00-05:00,25513.7,25516.6,25511.1,25511.4,25512.925318730384,25512.498269505544,25511.26471367372,25511.903699731603,17.9,False,True,False,True,0,2,False,False,False,False,False,False
2025-11-11 05:55:00-05:00,25511.7,25516.4,25510.1,25510.7,25512.843553969222,25512.397785574907,25511.440737276596,25512.01079982107,17.9,False,True,False,True,0,3,False,False,False,False,False,False
2025-11-11 05:56:00-05:00,25511.2,25512.3,25505.1,25505.2,25512.749319684102,25512.275255771365,25511.434983181214,25510.82386654738,17.9,False,True,False,True,0,4,False,True,False,False,False,False
