date,side,entry_time,entryTime,entry_price,exit_time,exitTime,exit_price,sl,tp,exit_reason,pnl_points,r_multiple,news1,news2,news3
2024-07-12,LONG,2024-07-12 09:42:00-04:00,9:42,20253.29,2024-07-12 09:44:00-04:00,9:44,20239.11,20239.11,20288.73,SL,-14.17730419,-1.0,ppi,puom-cs,
2024-07-12,LONG,2024-07-12 10:43:00-04:00,10:43,20416.23,2024-07-12 10:54:00-04:00,10:54,20451.96,20401.94,20451.96,TP,35.72840654,2.5,ppi,puom-cs,
2024-07-15,LONG,2024-07-15 09:43:00-04:00,9:43,20440.83,2024-07-15 09:44:00-04:00,9:44,20426.52,20426.52,20476.6,SL,-14.30858024,-1.0,fed-chair-s,,
2024-07-15,LONG,2024-07-15 10:05:00-04:00,10:05,20448.42,2024-07-15 10:30:00-04:00,10:30,20484.21,20434.11,20484.21,TP,35.7847391,2.5,fed-chair-s,,
2024-07-16,SHORT,2024-07-16 10:00:00-04:00,10:00,20386.24,2024-07-16 10:02:00-04:00,10:02,20350.57,20400.51,20350.57,TP,35.67592233,2.5,,retail-sales,
2024-07-16,LONG,2024-07-16 10:44:00-04:00,10:44,20359.01,2024-07-16 10:53:00-04:00,10:53,20344.76,20344.76,20394.64,SL,-14.25130655,-1.0,,retail-sales,
2024-07-17,SHORT,2024-07-17 09:31:00-04:00,9:31,20061.64,2024-07-17 09:36:00-04:00,9:36,20075.68,20075.68,20026.53,SL,-14.0431451,-1.0,,,
2024-07-18,SHORT,2024-07-18 09:34:00-04:00,9:34,19925.51,2024-07-18 09:40:00-04:00,9:40,19890.64,19939.46,19890.64,TP,34.86963986,2.5,,,
2024-07-18,SHORT,2024-07-18 10:37:00-04:00,10:37,19771.81,2024-07-18 10:38:00-04:00,10:38,19785.65,19785.65,19737.21,SL,-13.84026941,-1.0,,,
2024-07-19,SHORT,2024-07-19 09:30:00-04:00,9:30,19696.72,2024-07-19 09:31:00-04:00,9:31,19662.25,19710.51,19662.25,TP,34.46926693,2.5,,,
2024-07-19,SHORT,2024-07-19 10:23:00-04:00,10:23,19692.19,2024-07-19 10:27:00-04:00,10:27,19657.73,19705.98,19657.73,TP,34.46133674,2.5,,,
2024-07-22,LONG,2024-07-22 09:51:00-04:00,9:51,19826.21,2024-07-22 09:52:00-04:00,9:52,19812.33,19812.33,19860.9,SL,-13.87834596,-1.0,,,
2024-07-22,SHORT,2024-07-22 10:12:00-04:00,10:12,19728.79,2024-07-22 10:13:00-04:00,10:13,19742.6,19742.6,19694.26,SL,-13.81015068,-1.0,,,
2024-07-22,LONG,2024-07-22 10:42:00-04:00,10:42,19810.79,2024-07-22 10:50:00-04:00,10:50,19796.92,19796.92,19845.45,SL,-13.86754968,-1.0,,,
2024-07-23,LONG,2024-07-23 09:45:00-04:00,9:45,19837.89,2024-07-23 09:47:00-04:00,9:47,19824.0,19824.0,19872.6,SL,-13.88651974,-1.0,,,
2024-07-23,LONG,2024-07-23 10:24:00-04:00,10:24,19857.55,2024-07-23 10:25:00-04:00,10:25,19843.65,19843.65,19892.3,SL,-13.90028187,-1.0,,,
