date,side,entry_time,entry_price,exit_time,exit_price,sl,tp,exit_reason,pnl_points,r_multiple
9/25/23,SHORT,2023-09-25 10:59:00-04:00,14663.322517902581,2023-09-25 11:08:00-04:00,14679.452172672276,14679.452172672276,14631.063208363195,SL,-16.12965477,-1
9/26/23,SHORT,2023-09-26 09:30:00-04:00,14659.046721122128,2023-09-26 09:38:00-04:00,14675.171672515364,14675.171672515364,14626.796818335659,SL,-16.12495139,-1
9/26/23,SHORT,2023-09-26 09:55:00-04:00,14617.576698089199,2023-09-26 10:14:00-04:00,14585.418029353403,14633.656032457098,14585.418029353403,TP,32.15866874,2
9/26/23,LONG,2023-09-26 10:46:00-04:00,14625.582144302796,2023-09-26 10:49:00-04:00,14609.494003944063,14609.494003944063,14657.758425020262,SL,-16.08814036,-1
9/27/23,SHORT,2023-09-27 09:37:00-04:00,14602.869259518833,2023-09-27 09:43:00-04:00,14618.932415704305,14618.932415704305,14570.742947147892,SL,-16.06315619,-1
9/27/23,LONG,2023-09-27 09:48:00-04:00,14626.977464865306,2023-09-27 09:49:00-04:00,14610.887789653954,14610.887789653954,14659.156815288008,SL,-16.08967521,-1
9/27/23,SHORT,2023-09-27 10:08:00-04:00,14574.810162883203,2023-09-27 10:22:00-04:00,14590.842454062376,14590.842454062376,14542.74558052486,SL,-16.03229118,-1
9/27/23,SHORT,2023-09-27 10:59:00-04:00,14531.891256552946,2023-09-27 11:01:00-04:00,14547.876336935156,14547.876336935156,14499.92109578853,SL,-15.98508038,-1
9/28/23,LONG,2023-09-28 09:58:00-04:00,14576.528833445407,2023-09-28 10:00:00-04:00,14608.597196878987,14560.494651728617,14608.597196878987,TP,32.06836343358009,2
9/28/23,SHORT,2023-09-28 10:34:00-04:00,14544.65712503303,2023-09-28 10:38:00-04:00,14560.65624787057,14560.65624787057,14512.658879357958,SL,-15.99912284,-1
9/28/23,LONG,2023-09-28 10:52:00-04:00,14616.448578409167,2023-09-28 11:23:00-04:00,14648.604765281667,14600.370484972917,14648.604765281667,TP,32.15618687250026,2
9/29/23,LONG,2023-09-29 10:00:00-04:00,14876.81517375228,2023-09-29 10:13:00-04:00,14860.450677061153,14860.450677061153,14909.544167134534,SL,-16.36449669,-1
10/2/23,LONG,2023-10-02 09:30:00-04:00,14718.17560253725,2023-10-02 09:33:00-04:00,14750.555588862831,14701.98560937446,14750.555588862831,TP,32.37998632558083,2
10/2/23,LONG,2023-10-02 10:06:00-04:00,14823.028596386133,2023-10-02 10:10:00-04:00,14806.72326493011,14806.72326493011,14855.639259298183,SL,-16.30533146,-1
10/3/23,LONG,2023-10-03 09:36:00-04:00,14741.936580312447,2023-10-03 09:49:00-04:00,14774.368840789135,14725.720450074105,14774.368840789135,TP,32.43226047668759,2
10/3/23,SHORT,2023-10-03 10:11:00-04:00,14682.576890596747,2023-10-03 10:12:00-04:00,14698.727725176404,14698.727725176404,14650.275221437434,SL,-16.15083458,-1
10/4/23,SHORT,2023-10-04 09:30:00-04:00,14610.448413089573,2023-10-04 09:31:00-04:00,14626.519906343972,14626.519906343972,14578.305426580775,SL,-16.07149325,-1
10/4/23,LONG,2023-10-04 09:40:00-04:00,14666.051105437917,2023-10-04 09:43:00-04:00,14649.918449221936,14649.918449221936,14698.316417869879,SL,-16.13265622,-1
10/4/23,SHORT,2023-10-04 10:25:00-04:00,14616.275900562248,2023-10-04 10:31:00-04:00,14632.353804052867,14632.353804052867,14584.120093581012,SL,-16.07790349,-1
10/4/23,LONG,2023-10-04 10:43:00-04:00,14680.671788008549,2023-10-04 10:46:00-04:00,14664.52304904174,14664.52304904174,14712.969265942167,SL,-16.14873897,-1
10/5/23,LONG,2023-10-05 09:30:00-04:00,14759.10288352279,2023-10-05 09:32:00-04:00,14742.867870350916,14742.867870350916,14791.57290986654,SL,-16.23501317,-1
10/5/23,SHORT,2023-10-05 09:51:00-04:00,14712.267019660901,2023-10-05 10:00:00-04:00,14679.900032217647,14728.45051338253,14679.900032217647,TP,32.36698744,2
10/5/23,SHORT,2023-10-05 10:43:00-04:00,14597.467675373819,2023-10-05 11:23:00-04:00,14613.524889816732,14613.524889816732,14565.353246487997,SL,-16.05721444,-1
10/6/23,LONG,2023-10-06 09:34:00-04:00,14636.427253158494,2023-10-06 09:35:00-04:00,14620.32718318002,14620.32718318002,14668.627393115443,SL,-16.10006998,-1
10/6/23,SHORT,2023-10-06 10:09:00-04:00,14585.607039342882,2023-10-06 10:11:00-04:00,14601.65120708616,14601.65120708616,14553.518703856327,SL,-16.04416774,-1
10/6/23,LONG,2023-10-06 10:35:00-04:00,14731.096229846458,2023-10-06 10:48:00-04:00,14763.504641552121,14714.892023993627,14763.504641552121,TP,32.40841170566273,2
10/9/23,LONG,2023-10-09 10:26:00-04:00,14915.07674178996,2023-10-09 10:28:00-04:00,14898.670157373992,14898.670157373992,14947.889910621898,SL,-16.40658442,-1
10/9/23,SHORT,2023-10-09 10:43:00-04:00,14872.128071460424,2023-10-09 10:44:00-04:00,14888.487412339031,14888.487412339031,14839.40938970321,SL,-16.35934088,-1
10/10/23,LONG,2023-10-10 09:54:00-04:00,15076.883750270426,2023-10-10 10:00:00-04:00,15110.05289452102,15060.29917814513,15110.05289452102,TP,33.16914425,2
10/11/23,LONG,2023-10-11 09:38:00-04:00,15232.74319532206,2023-10-11 09:40:00-04:00,15215.987177807207,15215.987177807207,15266.255230351768,SL,-16.75601751,-1
10/11/23,SHORT,2023-10-11 10:00:00-04:00,15191.500636080607,2023-10-11 10:51:00-04:00,15208.211286780297,15208.211286780297,15158.07933468123,SL,-16.7106507,-1
10/11/23,LONG,2023-10-11 10:57:00-04:00,15215.337318007594,2023-10-11 11:18:00-04:00,15198.600446957786,15198.600446957786,15248.811060107211,SL,-16.73687105,-1
10/12/23,LONG,2023-10-12 10:15:00-04:00,15313.848377893448,2023-10-12 10:16:00-04:00,15297.003144677765,15297.003144677765,15347.538844324814,SL,-16.84523322,-1
10/13/23,SHORT,2023-10-13 10:08:00-04:00,15178.04740436175,2023-10-13 10:24:00-04:00,15144.655700072155,15194.74325650655,15144.655700072155,TP,33.39170428959551,2
10/16/23,LONG,2023-10-16 09:38:00-04:00,15111.86124016055,2023-10-16 09:42:00-04:00,15095.238192796372,15095.238192796372,15145.107334888902,SL,-16.62304736,-1
10/16/23,LONG,2023-10-16 10:14:00-04:00,15127.49299,2023-10-16 10:26:00-04:00,15160.773471486915,15110.852744630094,15160.773471486915,TP,33.28048457,2
10/17/23,SHORT,2023-10-17 09:30:00-04:00,15018.395147678435,2023-10-17 09:40:00-04:00,14985.354678353542,15034.915382340883,14985.354678353542,TP,33.04046932489291,2
10/17/23,LONG,2023-10-17 10:17:00-04:00,15039.894163558754,2023-10-17 10:23:00-04:00,15072.981930718583,15023.35027997884,15072.981930718583,TP,33.08776715982822,2
10/18/23,LONG,2023-10-18 10:08:00-04:00,15049.422325590822,2023-10-18 10:10:00-04:00,15032.867961032673,15032.867961032673,15082.531054707122,SL,-16.55436456,-1
10/18/23,SHORT,2023-10-18 10:40:00-04:00,14998.05765963124,2023-10-18 10:44:00-04:00,15014.555523056837,15014.555523056837,14965.061932780052,SL,-16.49786343,-1
10/19/23,SHORT,2023-10-19 09:44:00-04:00,14927.699600687794,2023-10-19 09:52:00-04:00,14944.120070248553,14944.120070248553,14894.85866156628,SL,-16.42046956,-1
10/19/23,LONG,2023-10-19 10:16:00-04:00,14977.374961961423,2023-10-19 10:17:00-04:00,14960.899849503265,14960.899849503265,15010.325186877737,SL,-16.47511246,-1
10/19/23,SHORT,2023-10-19 10:34:00-04:00,14901.306088808466,2023-10-19 10:35:00-04:00,14917.697525506157,14917.697525506157,14868.523215413088,SL,-16.3914367,-1
10/19/23,SHORT,2023-10-19 11:00:00-04:00,14909.60156829677,2023-10-19 11:15:00-04:00,14876.800444846518,14926.002130021898,14876.800444846518,TP,32.80112345025191,2
10/20/23,LONG,2023-10-20 09:30:00-04:00,14746.81090876437,2023-10-20 09:31:00-04:00,14730.58941676473,14730.58941676473,14779.25389276365,SL,-16.221492,-1
10/20/23,SHORT,2023-10-20 10:10:00-04:00,14724.089599831548,2023-10-20 10:11:00-04:00,14691.69660271192,14740.286098391365,14691.69660271192,TP,32.39299711962849,2
10/23/23,SHORT,2023-10-23 09:38:00-04:00,14470.65432190626,2023-10-23 09:40:00-04:00,14438.818882398067,14486.572041660358,14438.818882398067,TP,31.835439508193303,2
10/23/23,LONG,2023-10-23 10:07:00-04:00,14534.70439275884,2023-10-23 10:19:00-04:00,14566.68074242291,14518.716217926805,14566.68074242291,TP,31.976349664069858,2
10/24/23,LONG,2023-10-24 09:43:00-04:00,14718.716576181941,2023-10-24 09:45:00-04:00,14702.525987948142,14702.525987948142,14751.09775264954,SL,-16.19058823,-1
10/24/23,LONG,2023-10-24 10:10:00-04:00,14720.370131648408,2023-10-24 10:13:00-04:00,14704.177724503594,14704.177724503594,14752.754945938033,SL,-16.19240714,-1
10/24/23,LONG,2023-10-24 10:31:00-04:00,14740.113293296197,2023-10-24 10:48:00-04:00,14772.541542541449,14723.899168673572,14772.541542541449,TP,32.42824924525121,2
10/25/23,SHORT,2023-10-25 09:30:00-04:00,14642.449423044718,2023-10-25 09:31:00-04:00,14610.23603431402,14658.55611741007,14610.23603431402,TP,32.21338873069726,2
10/25/23,LONG,2023-10-25 10:49:00-04:00,14569.182029409183,2023-10-25 10:51:00-04:00,14553.155929176834,14553.155929176834,14601.234229873882,SL,-16.02610023,-1
